Omega,x_re,x_im,x0,v0,floquet,stable
0.651,2.7651808778297853,0.018526564405631357,(0.11453484989276584-0.9448938221989318j),(2.3539594951282568+0.07375506294770522j),[0.30711576+0.23945528j 1.32434857-1.0325822j ],False
0.65,2.7676511743117342,0.018461643678760253,(0.11443357054917945-0.9456105149603186j),(2.355122320201549+0.07368704591033497j),[0.3051827 +0.23954194j 1.32513252-1.04011405j],False
0.649,2.7701030878720285,0.01839577513384189,(0.11433095468978662-0.9462601784091726j),(2.3562488166742104+0.07361386019552844j),[0.30325609+0.2396214j  1.32589498-1.04767168j],False
0.648,2.7725367379111536,0.018328965023263796,(0.1142270033943163-0.9468425864287693j),(2.3573389028019496+0.0735355065156698j),[0.301336  +0.23969372j 1.32663577-1.0552548j ],False
0.647,2.7749522435539324,0.01826121934411093,(0.11412171768386233-0.947357501788788j),(2.3583924973233+0.07345198481570613j),[0.29942252+0.23975894j 1.32735465-1.0628631j ],False
0.646,2.777349723648603,0.018192543844771175,(0.11401509852195565-0.947804676039049j),(2.359409519477367+0.0733632942764935j),[0.29751573+0.23981712j 1.32805143-1.07049623j],False
0.645,2.779729296765057,0.018122944031047385,(0.11390714681580004-0.9481838493857102j),(2.3603898890191517+0.07326943331689936j),[0.29561571+0.23986829j 1.32872588-1.07815381j],False
0.644,2.782091081193219,0.018052425171960165,(0.1137978634180388-0.9484947505556347j),(2.361333526235044+0.07317039959526425j),[0.29372256+0.23991251j 1.3293778 -1.08583543j],False
0.643,2.7844351949418997,0.01798099230517535,(0.1136872491271757-0.9487370966514285j),(2.3622403519598705+0.07306619000958792j),[0.29183637+0.23994982j 1.33000698-1.09354065j],False
0.642,2.786761755737122,0.01790865024197453,(0.11357530468902674-0.9489105929899508j),(2.363110287592246+0.0729568006969561j),[0.28995724+0.23998027j 1.3306132 -1.101269j  ],False
0.641,2.7890708810195624,0.017835403566468472,(0.11346203079809197-0.949014932928505j),(2.363943255110368+0.07284222703207724j),[0.28808527+0.24000392j 1.33119625-1.10901997j],False
0.64,2.791362687940343,0.017761256632247372,(0.11334742809837295-0.9490497976789627j),(2.3647391770885027+0.07272246362471542j),[0.28622057+0.24002081j 1.33175591-1.11679303j],False
0.639,2.793637293298869,0.017686213570981213,(0.11323149654664848-0.949014855609367j),(2.365497976541029+0.07259750400475545j),[0.28436326+0.240031j   1.33229199-1.12458758j],False
0.638,2.795894813715351,0.017610278312727337,(0.11311423717013037-0.9489097633750057j),(2.366219577401935+0.07246734147415523j),[0.28251344+0.24003454j 1.33280428-1.132403j  ],False
0.637,2.798135365475711,0.017533454564445154,(0.1129956505064166-0.9487341645094686j),(2.3669039041367417+0.07233196834134531j),[0.28067124+0.24003149j 1.33329255-1.14023865j],False
0.636,2.8003590645673597,0.017455745819476235,(0.11287573699310197-0.94848768946262j),(2.367550881854934+0.07219137610326776j),[0.2788368 +0.2400219j  1.33375662-1.14809382j],False
0.635,2.8025660266834933,0.017377155361520635,(0.11275449702187784-0.9481699553815394j),(2.368160436340919+0.07204555546380463j),[0.27701022+0.24000583j 1.33419627-1.15596777j],False
0.634,2.8047563672213967,0.017297686267206847,(0.11263193093873193-0.9477805658298896j),(2.3687324940691674+0.07189449632454621j),[0.27519166+0.23998335j 1.33461132-1.1638597j ],False
0.633,2.8069302012809714,0.017217341408434884,(0.11250803904540395-0.9473191104906463j),(2.369266982219561+0.07173818777507013j),[0.27338126+0.2399545j  1.33500155-1.17176878j],False
0.632,2.80908764370852,0.017136123459303522,(0.11238282159991185-0.9467851651550101j),(2.3697638288269225+0.07157661810339148j),[0.27157915+0.23991935j 1.33536679-1.17969413j],False
0.631,2.81122880923832,0.017054034909028497,(0.11225627887325877-0.9461782923538317j),(2.3702229632176723+0.07140977487663332j),[0.2697855 +0.23987798j 1.33570681-1.18763481j],False
0.63,2.8133538117858894,0.016971077978076957,(0.11212841110828858-0.9454980362824313j),(2.3706443139476963+0.07123764457151549j),[0.26800046+0.23983044j 1.33602146-1.19558983j],False
0.629,2.8154627652680424,0.016887254723079444,(0.11199921836642276-0.9447439279621322j),(2.3710278112665684+0.07106021288951796j),[0.26622418+0.23977681j 1.33631056-1.20355813j],False
0.628,2.8175557833966187,0.016802567011604125,(0.11186870343884633-0.9439154839356417j),(2.3713733865096733+0.07087746591984329j),[0.26445684+0.23971714j 1.33657393-1.21153865j],False
0.627,2.8196329795154123,0.016717016493565547,(0.1117368673510705-0.9430122040055062j),(2.3716809716461875+0.0706893880629185j),[0.26269862+0.23965153j 1.33681141-1.2195302j ],False
